title,Departments,keywords
Finding the Thread of Transmission: An Examination of Hohokam Ceramic Production Through Regional Distribution and Production Patterns,Archaeology,"archaeology, hohokam, ceramics, arizona, craft production"
Monongahela Site Usage in the Late Prehistoric Period As Expressed in the 33ME61 Wansack Site (2-03),Archaeology,"archaeology, monongahela river drainage, lithic analysis, site analysis, ceramics"
Consumerism in the Caribbean: a Study of Consumer Trends Within the British Colonial Caribbean,Archaeology,"caribbean, archaeology, consumerism, colonialism, economics, port royal, barbados, nevis"
Further Down the Spiral: Analyzing Calleva Atrebatum in the  Context of Collapse and Abandonment During the Withdrawal of Roman Britain,Archaeology,"collapse, abandonment, Rome"
Off With Their Heads: The Use of Human Heads as Trophies in Central and South America,Archaeology,"head hunting, scalping, archaeology, south america, central america, skull"
Journey to the New World:  a World-Systems Approach to English Colonization at Jamestown,Archaeology,"jamestown, english expansion, world-systems theory"
Canaan as a Contested Periphery: An Investigation of the Core and Peripheral Cultural Interactions of the Early Bronze Age Levant through World-Systems Analysis,Archaeology,"Levant, fortification, world-systems, archaeology, Canaan, Egypt, Mesopotamia"
The Domestication and Migration of Zea mays L. in Association with Holocene Climatic Variance,Archaeology,"Maize, domestication, climate"
"Mom, What Are We? Culture Contact Between Maya and Olmec in Pre-Columbian Honduras",Archaeology,"maya, olmec, cultural contact, western honduras, honduras, los naranjos, yarumela, copan, lake yojoa, mesoamerican pre-classic period, mesoamerican classic period"
"Lithic Raw Material Procurement at the Prehistoric Wansack Site (36ME61) in Mercer County, Pennsylvania: Evidence for Mobility and Trade Patterns from the Archaic to the Late Prehistoric in Elemental XRF Data",Archaeology,"Monongahela, mobility patterns, lithics, chert, raw material procurement, provenance, XRF, prehistoric, processualism"
Sailing on the Edge: a World-Systems Analysis of Pirates and Privateers in the Atlantic and Caribbean in the Seventeenth and Eighteenth Centuries,Archaeology,"piracy, world-systems, edward teach, contested periphery"
Preserving the Past: A Comparison Between the United States and India,Archaeology,preservation
The Roman Military Industrial Complex: A Study of the Relationship of the Evolution of Roman Equipment and the Roman Economy,Archaeology,"Roman, military, economy"
Tomb of the Goblets: Revisiting a Middle Bronze Burial from Pella in Jordan,Archaeology,"Tomb, Jordan, Pella, Middle Bronze, Late Bronze, Chronology"
Anglo-Saxon and Viking Ship Burials as Indicators of Status and Power,Archaeology; Art and Art History,"Ship burial, Anglo-Saxon, Viking"
"If You Were Buried In A Ship, You Might Be A Viking: An Investigation of Scandinavian Influence Over Anglo-Saxon Identity in Mortuary Practices",Archaeology; History,"mortuary practice, Anglo-Saxon, Vikings, identity"
"Written In Stone: Mortuary Analysis of the Cemetery in Athienou, Cyprus",Archaeology; Sociology and Anthropology,"Cyprus, cemetery, mortuary analysis, historical archaeology"
Do You Have the Heart For It?: An Anthropological Examination of Portrayals of Aztec Human Sacrifice in Popular Culture,Archaeology; Sociology and Anthropology,"Aztec, Human Sacrifice"
"An Investigation of Cultural Identity: A Comparison of Mortuary, Ceramic, and Architectural Traditions between Cerro Magoni, Teotihuacan, and Northwestern Mexico",Archaeology; Sociology and Anthropology,"Cerro Magoni, Teotihuacan, migration, identity"
The Accuracy of the Ethnohistoric Data by La Page Du Pratz about the Natchez,Archaeology; Sociology and Anthropology,"Ethnohistory, Natchez, Du Pratz"
Lost and Found: the Life and Art of Vivian Maier,Art and Art History,"photography, chicago, mystery, art, street photography, self portraits, women artists"
Johnny Appleseed: Exploring a Cultural Landscape,Art and Art History,"art, johnny appleseed, painting, drawing, landscape, apple"
"Cracks in the Sidewalk: An Examination of ""Freaks"" and Women in Garry Winogrand's Volatile Sixties",Art and Art History,"art, photography, art history, sixties, gaze"
Come to the Table,Art and Art History,"bread, ceramics, baskets, hospitality, community"
Exploration of Form and Technique in Functional Ceramics,Art and Art History,Ceramics
The Developement of Craft,Art and Art History,"Craft, Sculpture, NIck Cave, Paul Thek, Richard Sennet, PVC"
Documenting Qualities of Natural and Artificial Forms of Beauty,Art and Art History,"documentation, natural, artificial, beauty"
Investigating Intrigue: Past and Imagined,Art and Art History,"Drawing, Painting, Mystery"
"The Weathered Nude:  Topographic Maps Paved By the Intricacies of Memory, Time, and Emotion",Art and Art History,"emotion, nudes, surealism, photography, memory, layers"
Exposure of the Self: Expressions of Internal Conflict Through Fashion,Art and Art History,"fashion, art"
Destructive Creation,Art and Art History,"found objects, recycling, industrialization"
Artist Francesco Clemente's  Understanding of Tantrism As Demonstrated By the Unfolding of Female Genitalia in His Works,Art and Art History,"francesco clemente, tantrism"
Time Travelin' Is Dino-Mite!:  the Development of an Original Sequential Art Narrative,Art and Art History,"graphic novel, dinosaur"
Untitled,Art and Art History,"history, art, religion, black spirituality"
Evolving to Explore: the Potential in Land Art,Art and Art History,"land art, andy goldsworthy, theo jansen"
Extended Family,Art and Art History,lawn ornaments
Not So Innocent: Little Red Riding Hood's Corrupted Past and the Constructs of Victorian Childhood,Art and Art History,"little red riding hood, fairy tales, gustave dore, walter crane"
"The Function of Masochism in Performance Art of the 1970's: A Psychoanalytic Examination of Performances by  Chris Burden, Marina Abramovi_, and Abramovi_/Ulay",Art and Art History,"masochism, performance art, gender, psychoanalysis, subjectivity, objectification"
Encaustic Internal Organs Paralleling the External Industrial World,Art and Art History,"painting, art, photography"
A Bestial History,Art and Art History,"Parahuman, hybrid"
Welcome to the Jungle: A Hallucinogenic Phenomenological Experience,Art and Art History,"Phenomenology, Hallucinations, Photography, Fine Arts, Light"
Experiencing the Change of Home,Art and Art History,"photography, home, landscapes"
Tussen Droom En Werkelijkheid: Between Dream and Reality,Art and Art History,"printmaking, studio art, fairytale, fantasy"
Journey to Recovery,Art and Art History,"recovery, sculpture, process driven"
Terrain,Art and Art History,"sculpture and photography, miniature landscapes"
Inside the Black Box: Relationships Between Structure and Natural Spaces,Art and Art History,Sculpture Studio Art
Serving Up a Cup,Art and Art History,"social practice art, socially engaged art, community, pottery, mugs"
Leaving It to the Streets: An Examination of the Consequences of Memorializing Street Art,Art and Art History,"street art, banksy, museums, the underbelly project, galleries"
The Transparent Self,Art and Art History,studio art
Architectural Interventions,Art and Art History,"studio art, architecture, drawing, sculpture, infrastructure, land degradation, coastal cities"
The History of the Americanization of Sushi and its Application as an Art Form,Art and Art History,"sushi, history, americanization, art form"
Technomorphis: Artistic Explorations of Humanity’s  Dynamic Relationship with Technology,Art and Art History,"Technology, Humanity, Painting, Collage, Mixed Media"
Women in Water: The Drowned Female Victim in Victorian Painting,Art and Art History,"women in water, Catherine Everett"
Mycenae and Cultural Memory: 150 to 2015 CE,Art and Art History; Classical Studies,"Mycenae, Classics, Greek, Museum studies, Schliemann, Pausanias, Mycenaeans, National Archaeological Museum of Athens, Bronze Age"
From Renaissance Entertainment to Occult Divinitory Practice: An Iconographic Study of the Sexual Female Image in Tarot,Art and Art History; French and Francophone Studies,"tarot, gender, iconography, occult, france, renaissance, vagina dentata"
"Power, Sex, and Intrigue: An Examination of Mistress Portraiture at the Court of Charles II",Art and Art History; History,"Charles II, The Restoration, mistresses, portraiture"
Seen and Unseen Face of God: An Artist's Exploration of Patua Art and Religion,Art and Art History; Religious Studies,"patua, india, art, religion, hinduism, islam, syncretism, kalighat"
"The Canyon as Home: Accessing food, water, education, and employment in Tijuana's former municipal landfill",Art and Art History; Sociology and Anthropology,"ethnographic, mexico, landfill, art, recyclers, catadores, education"
A Neopagan Renaissance: Appropriation of Medieval Imagery and Pre-Christian Folklore in the Magazine Covers of Harvest,Art and Art History; Sociology and Anthropology,"neopagan, neopaganism, wicca, medieval, middle age, medievalism"
Arginine Kinase of Myxococcus Xanthus Influences Development in a Manner Dependent on the Conditions of Development,Biochemistry and Molecular Biology,"adenosine monophosphate, arginine kinase, myxococcus xanthus, glycogen, development, osmotic stress"
Disrupting Dimer Formation in the Baker’s Yeast Alkyl Hydroperoxide Reductase 1 (Ahp1),Biochemistry and Molecular Biology,"Ahp1, Oxidative stress, Reactive oxygen species, Dimer interface"
Altering amino acid residues at the dimer interface of the yeast peroxiredoxin Ahp1: Effects on quaternary structure and protection against peroxides,Biochemistry and Molecular Biology,"Ahp1, peroxiredoxins, divinyl sulfone, dimer, Phenylalanine, aromatic, Prx, yeast, Trx2"
Investigation of the Potential Role of 6-Hydroxynicotinate-3-Monooxygenase in the Modulation of Virulence in Bordetella Pertussis,Biochemistry and Molecular Biology,"bordetella pertussis, whooping cough, nicotinic acid degradation pathway, nicc, 6-hydroxynicotinate-3-monooxygenase"
Progress Towards the Characterization of a Novel Substrate-Analog Inhibitor of   Udp-3-O-(R-3-Hydroxymyristoyl)-N-Acetylglucosamine Deacetylase,Biochemistry and Molecular Biology,characterization of a novel substrate-analog inhibitor of lpxc
Characterization of a Creatine Kinase Enzyme From Cryptosporidium Muris,Biochemistry and Molecular Biology,"creatine kinase, cryptosporidium muris, phosphagen kinase, horizontal gene transfer, evolution"
Influence of the Protein Cross-Linker Diethyl Acetylenedicarboxylate on 20S Core Particle Degradation of Candidates for the 26S Proteasome,Biochemistry and Molecular Biology,"dad, dem, lactacystin, proteasome, tsa1, ubiqutin, western blot"
Modification of Saccharomyces cerevisiae oxidant defense proteins by the electrophiles N- ethylmaleimide and parthenolide,Biochemistry and Molecular Biology,"Electrophiles, Parthenolide, Yeast"
Characterization of Two Contiguous-Dimer Taurocyamine Kinases From the Parasitic Trematodes Schistosoma Japonicum and Clonorchis Sinensis,Biochemistry and Molecular Biology,"enzymes, kinetics, medicine, healthcare, parasites, phosphagen kinase, itc"
Probing the Role Cysteine-150 in Maleamate Amidohydrolase (NicF) Catalysis  From Bordetella Bronchiseptica RB50 By Site-Directed Mutagenesis,Biochemistry and Molecular Biology,"enzymology, site-directed mutagenesis, biochemistry, metabolism"
Glycogen Synthase Kinase-3 Regulates DNA Methylation Near Genes Implicated in Bipolar Disorder,Biochemistry and Molecular Biology,"glycogen synthase kinase-3, dna methylation, bipolar disorder"
A Preliminary Analysis of the Differences in Cyclosporin a Resistance Between  Amino Acid Residues P538 and P540 of the Hepatitis C Polymerase,Biochemistry and Molecular Biology,"hepatitis c, polymerase, virus, hcv, cyclophilin b, cypb, ns5b, rna"
Mapping Polyprotein Cleavage Sites in the R78 Region of Maize Chlorotic Dwarf Virus,Biochemistry and Molecular Biology,"mcdv, r78, polyprotein, cleavage, in vitro transcription/translation, western blot, 3c protease"
Assessment and Comparison of Ornamental Plant Disease Resistance and Plant Growth as Effected by Microbial Inoculants,Biochemistry and Molecular Biology,"microbe, inoculants, plants, petunia, botrytis"
A Screen for S. cerevisiae Mutants Hypersensitive to the P. sojae effector PsAvh172,Biochemistry and Molecular Biology,Molecular Biology
"Entrapment and Determination of Lipase Embedded in Swellable Organosilica, Modeling Particle Aggregation and Aging of Colloidal Sol-Gels",Biochemistry and Molecular Biology,"organosilica, aggregation, entrapment, sol-gels"
Alterations in the Activity of the Yeast Peroxidase Tsa1 Upon Modification By Alkylating Agents,Biochemistry and Molecular Biology,"peroxiredoxin, alkylating agents"
Protective Role of the Yeast Peroxiredoxin Tsa1 Against Electrophile-Mediated Stress,Biochemistry and Molecular Biology,"peroxiredoxin, tsa1, yeast, molecular chaperone, electrophile, ros, oxidant, high molecular weight, complex, hmw, holdase"
Evolutionary Study of the Phosphagen Kinase Enzyme Family Probing Substrate Specificity and Cooperativity in Software Derived Ancestral Proteins,Biochemistry and Molecular Biology,"phosphagen kinases, evolution, ancestral"
Preliminary Investigation of Arginine Kinase in  Caenorhabditis elegans,Biochemistry and Molecular Biology,"phosphogen kinase, PK, arginine kinase, AK, creatine kinase, CK, C.elegans, stress"
"Cloning, Purification, and Analysis of an Aromatic Monooxygenase Protein Involved in the Production of Strain-Specific Phenazine Metabolites",Biochemistry and Molecular Biology,"PhzO, phenazines, protein, kinetics"
Mechanistic Insights into the Suppression of Mutations by the Yeast Peroxiredoxin Tsa1,Biochemistry and Molecular Biology,"Reactive Oxygen Species, Yeast, Tsa1, Prx"
Size Selective Dna Purification Using Swellable Organically Modified Silica,Biochemistry and Molecular Biology,"soms, size selective dna purification"
Investigating Cis-Elements of Microtubule-Associated Protein Tau's 3'-Untranslated Region,Biochemistry and Molecular Biology,"tdp-43, cis-elemnt, trans-acting factor, tau, ad, alzheimer's, microtubule, rna, rnai, untranslated, 3'-utr, luciferase, western blot, gfp, cloning, modulation, sh-sy5y, hek, neurodegenerative, cell, differentiation, m17d"
Investigation of Functional Roles For Thioredoxins in Protecting Against Reversible Electrophile Induced Protein Damage in Saccharomyces Cerevisiae,Biochemistry and Molecular Biology,"thioredoxin, electrophile, cysteine modification"
Protein Cross-Linking As a Mechanism of Cytotoxicity For Bifunctional Electrophiles,Biochemistry and Molecular Biology,"toxicity, redox, thioredoxin, electrophile, cytotoxicity"
Elucidating the Degradation Pathway of Venlafaxine(Effexor),Biochemistry and Molecular Biology,"venlafaxine, biodegradation, activated sludge, metagenomics, acclimation"
Assessing the Ability of Environmental Microbes to Catabolically Degrade the Antidepressant Venlafaxine (Effexor®),Biochemistry and Molecular Biology,"venlafaxine, degradation, drug metabolism, lc-ms/ms"
Characterizing the Role of 2-Oh-Pca in P. Chlororaphis Pathogenesis,Biochemistry and Molecular Biology,"virulence factors, phenazines"
"Identification and Characterization of HAP1, a YAP1 Homologue, in the Fungus Histoplasma Capsulatum",Biochemistry and Molecular Biology,"yap1, histoplasma capsulatum, macrophage, transcription factor"
Investigation Into the Role of the Poly(A) Binding and Regulating Protein dNab2 in the Mushroom Bodies of Drosophila Melanogaster,Biochemistry and Molecular Biology,"ZC3H14, dNab2, Polyadenosine binding protein, poly(A) binding, Mushroom bodies, drosophila, drosophila melanogaster, OK107 Gal4, 201y Gal4, c305a Gal4, c739 Gal4"
Exploring the Structural Basis for Negative Cooperativity in the Phosphagen Kinase Superfamily,Biochemistry and Molecular Biology,"Negative Cooperativity, Phosphagen Kinases"
Virulence Modulation of Bordetella Pertussis via Inhibition of the Nicotinate Degradation Pathway,Biochemistry and Molecular Biology; Neuroscience,Bordetella pertussis
Neophobic behavior but not aggression differs between urban and rural chickadee flocks (Poecile atricapillus and Poecile carolinensis),Biology,"animal behavior, urbanization, neophobia, aggression, black-capped chickadee, Carolina chickadee"
"The Effects of Circadian Rhythm Disruption On Social Behavior, Anxiety, and Plasma Corticosterone Levels in Mice Using Exercise As An intervention",Biology,"Circadian rhythm disruption, exercise, social behavior, plasma corticosterone"
"The Lethal and Sub-lethal Effects of Sulfoxaflor on Honey Bees, Apis Mellifera, Bumble Bees, Bombus Impatiens, and Alfalfa Leafcutter Bees, Megachile Rotundata",Biology,"honey bees, Sulfoxaflor, Imidacloprid"
"Geography and Genetics: Population Differentiation and Biogeographic History of the Coral Bean, Erythrina flabelliformis, as inferred using Microsatellite Loci",Biology,"microsatellites, population genetics, population differentiation, Erythrina, biogeography"
Interaction of nutritional content and temperature on larval growth rate in Pieras rapae,Biology,"Nutritional Content, Temperature, Pieras rapae, caterpillars"
Oxidative Stress Response Regulator and ABC Transporter Gene Expression in Caenorhabditis elegans as a Method for Reducing Phenazine Toxicity,Biology,"Phenazine, Pyocyanin, 1-hydroxyphenazine, Oxidative, C. elegans"
Determination of Genes Mediating Inter-bacterial Competition in an Environmental Isolate of Pseudomonas chlororaphis aurantiaca 14b11,Biology,"phenazines, bacterial competition, pseudomonas, quorum sensing"
Phenazine Inhibition in Pseudomonads: An Investigation of Subinhibitory Aminoglycoside Concentrations and Pseudomonad Interactions,Biology,"Phenazines, Subinhibitory antibiotics, Aminoglycosides"
"A Phylogeographic Study of The Pickerel Frog, Lithobates Palustris, To Assess The Possibility of Cryptic Species",Biology,Phylogeography Pickerel frog Lithobates palustris cryptic species
"The Effects of Short-Term Starvation and Subsequent Re-Feeding in The Red Flour Beetle, Tribolium Castaneum",Biology,"Red Flour Beetle, Tribolium castaneum, starvation, re-feeding"
Organizational and Activational Effects of Testosterone on Learning and Memory,Biology,"Testosterone, Organizational and Activational Effects, Spatial Memory and Learning."
Long-Term Experimental Evolution of Environmental Microbes to Degrade the Antidepressant Venlafaxine (Effexor®),Biology,"Venlafaxine, Experimental Evolution, Pseudomonas"
Examining Compensatory Factors That Influence Peroxide Sensitivity and Mutation Frequency in Yeast Lacking Two Key Peroxidases,Biology,"Yeast, Mutation, Peroxide-Sensitivity, Peroxiredoxins, Tsa1, Tsa2, Dot5"
Temperature as a Stressor in Zebra Finch Nestlings and its Effects on the Post-Fledging Stress Response,Biology,"zebra finch, stress, glucocorticoids, corticosterone, temperature, cooling, HPA axis, endocrinology"
"Why Do Mosquitoes Bite Me?! Aedes albopicts, The Tiger Mosquito, and Possible Attraction to Skin Bacteria",Biology,"Aedes albopicts, mosquito, skin bacteria, skin microbes"
The Effects of Mating on Longevity in Female Aedes aegypti When Nutritionally Stressed and Dehydrated,Biology,"Aedes, Dengue, Seminal Fluid Proteins, Survival, Mating, Nutrition, Dehydration, Female Longevity, Chikungunya"
The Interacting Effects of Social Stimuli and Pyridoxine Supplementation on Spatial Learning and Memory and Social Play Behavior in Juvenile Male Rats,Biology,"cognition, antioxidants, learning, memory, morris water maze, vitamin B6"
Identification of the Freshwater Fish of Tobago and Comparison to the Fish of the Northern Drainages of Trinidad using DNA Barcoding,Biology,"DNA Barcoding, Tobago, Trinidad, Freshwater Fish. COI"
Predicting Behavior in an Unpredictable World: How Environmental Cues Affect Behavioral Plasticity in Adult Male and Embryonic Larvae of the Tobago Glass Frog (Hyalinobatrachium orientale tobagense),Biology,"glass frog, Hyalinobatrachium orientale, parental care, induced hatching"
Does HCV Replication Dependence Shift from Cyclophilin A to Cyclophilin B in Cyclosporin Resistant Mutants?,Biology,"HCV, Hepatitis C Virus, Cyclophilin B, NS5A, NS5B, Cyclosporin A"
Mate Preference within Hybridizing Populations of Plethodon Cinereus and Plethodon Electromorphus Salamanders,Biology,"hybridization, plethodon, cinereus, electromorphus, salamanders, evolution"
THE INTERACTING EFFECTS OF SOCIAL STIMULI AND PYRIDOXINE SUPPLEMENTATION ON SPATIAL LEARNING AND MEMORY AND SOCIAL PLAY BEHAVIOR IN JUVENILE MALE RATS,Biology,"Learning and memory, Morris water maze, rats, antioxidants, cognition"
Lactate Production During Torpor in Two Sympatric Species of Dwarf Lemur Cheirogaleus crossleyi and Cherogaleus sebreei,Biology,"lemur, torpor, hibernation, dwarf lemur, Madagascar"
The Effects of Freezing on Bacterial Counts in Organic and Inorganic Bovine Bedding Materials,Biology,"mastitis, bovine, cow, freezing, bacterial counts"
The Effects of Freezing on Bacterial Counts in Organic and Inorganic Bovine Bedding Materials,Biology,"Mastitis, Bovine, Cow, Freezing, Bacterial Counts"
Stream Channelization and the Genetic Structure of Cottus bairdii Populations in Three St. Joseph River Tributaries,Biology,"population genetics, sculpin, aquatic, channelization, stream, creek, river, Indiana"
Sub-lethal Effects of Imidacloprid on Honey Bee (Apis mellifera) Cue Use in Finding a Learned Feeding Site,Biology,"sub-lethal, imidacloprid, honey bees, cue use"
How Does Exposure to Triclosan Affect Territorial Behavior of the Male Fathead Minnow (Pimephales promelas)?,Biology,"triclosan, behavior, fathead minnow"
HOW DOES EXPOSURE TO TRICLOSAN AFFECT TERRITORIAL BEHAVIOR OF THE MALE FATHEAD MINNOW (PIMEPHALES PROMELAS)?,Biology,"Triclosan, Behavior, Fathead Minnow, endocrine disrupting chemicals"
Identification of the Freshwater Fish of Tobago and Comparison to the Fish of the Northern Drainages of Trinidad using DNA Barcoding,Biology,"Trinidad, Tobago, DNA barcoding, freshwater fish, COI"
Mate Preference within Hybridizing Populations of Plethodon cinereus and Plethodon electromorphus Salamanders,Biology,"ybridization, plethodon, cinereus, electromorphus, salamanders, evolution"
A Comparative Assessment of Venlafaxine Degradation in Municipal and Industrial Wastewater Treatment Plant Sludge,Biology; Chemistry; Environmental Studies,"venlafaxine, degradation, WWTPs, PPCPs"
Generalist and Specialist Pollination Syndromes: When are they Favoured?  A Theoretical Approach to Predict the Conditions Under which a Generalist or Specialist Pollination Syndrome is Favoured.,Biology; Mathematics,"pollination syndrome, pollination, plant evolution, angiosperm, generalization, specialization, stochastic cellular automata, agent based modelling"
Regulation of Retinal Neuron Pathfinding in Drosophila melanogaster by Evolutionary Conserved Poly (a) Binding Proteins Implicated in Intellectual Disability,Biology; Neuroscience,intellectual disability
Exploring the Neuroprotective Effects of EGCG and Green Tea on the Vestibular System,Biology; Neuroscience,"Vestibular system, EGCG, green tea, matcha, hair cells, neuroprotection, rodent model"
The Effects and Implications of Sex Steroid Hormones on Adult Neurogenesis in the Main Olfactory Bulb,Biology; Neuroscience,"adult, neurogenesis, olfaction, discrimination, hormones"
The Long-term Administration of Duloxetine and Hormonal Contraception Modulate Behaviors of Depression in the Rodent Model,Biology; Neuroscience,"Duloxetine, hormonal contraception"
The Long-term Administration of Duloxetine and Hormonal Contraception Modulate Behaviors of Depression in the Rodent Model,Biology; Neuroscience,"Rodents, Duloxetine, Antidepressant Therapies, Depression, Anxiety"
Muttiple Shelter Enrichment Methods: a Study of the Effect of  Petting or Walking on the Canine Stress Response,Biology; Psychology,"Dog, Canis familiaris, behavior, cortisol, biology, psychology, stress response, stress, animal shelter"
An Exploration of the Relationship between Personality and Play Behaviors in Captive Red Ruffed Lemurs (Varecia variegata rubra),Biology; Psychology,"Personality, play behavior, lemurs, animal welfare, enrichment, conservation"
Along Came a Spider: a Biological Assessment of Spider Communities in Urban Gardens and Vacant Lots and an Anthropological Investigation of Attitudes Toward Spiders,Biology; Sociology and Anthropology,"spider communities, urban garden, vacant lot, cleveland, attitudes, inner-city, high school students, biology, anthropology"
"Get Back to Work, Sir: An Empirical Study of CEO Compensation with Regards to Company Monitoring",Business Economics,"business, compensation, monitor, shirk"
Financial Crisis Compensation Aftershock: An Examination of the 2008 Financial Crisis on CEO Compensation Structure,Business Economics,"CEO Compensation, 2008 Financial Crisis"
Does CEO Pay Structure Matter? Research and Empirical Analysis on the Relationship CEO Compensation Structure Has on the Financial Performance of the Firm,Business Economics,"compensation structure, firm performance, CEO"
The Board of Doctors: How Insider Directors Affect Non-Profit Hospitals Governance,Business Economics,"corporate governance, hospitals, agency theory"
Does Product Diversification Matter? Theoretical and Empirical Analysis on the Product Diversification- Firm Performance Relationship,Business Economics,"diversification, firm performance"
Does Performance-based Executive Compensation Matter More for the U.S.-based Multinational Corporations or the U.S. Domestic Corporations?,Business Economics,"Executive Compensation, Multinational Corporations, Domestic Corporations, Firm Performance"
“I Can’t Afford Not to Go to College!”: An Analysis on the Effects of Financial Aid on the Human Capital Investment Decision,Business Economics,"financial aid, loan, human capital investment"
The Welfare of The Homeless: An Analysis of the Effectiveness of Government Assistance Programs on Utility,Business Economics,"Homeless, Housing First, Housing Regulations"
Valuation and Horizontal Acquisitions: An Analysis of the Source of Value Created From Horizontal Acquisitions,Business Economics,horizontal acquisitions
The Effects of Hospital Consolidation on Hospital Financial Performance and the Potential Trade-Off of Hospital Consolidation for Society,Business Economics,"hospitals, hospital consolidation"
What do Students Value in an Institution of Higher Education?  A Study on Institutional Attributes and Tuition at Private Colleges in the United States: A Hedonic Approach,Business Economics,"institutional attributes, tuition, willingness to pay, hedonic models"
The Economic Benefits of Being Accountable: Modeling the Impact of Political Transparency on Economic Growth in Resource-Rich Developing Countries,Business Economics,"institutional quality, transparency, economic growth"
Green Technology Transfer: Analyzing the Impact on Developed Countries through Environmental Technological Transfers between Developed and Developing Countries,Business Economics,"international trade, comparative advantages, developed countries, developing countries, green technological goods, environmentally friendly technological goods, carbon emissions reduction, green technology transfer"
"Location, Location, Location: An Empirical Study of the Factors That Determine the Location of Natural and Organic Grocery Retailers in the United States",Business Economics,"location, business"
The Effects of Medicaid Reimbursement Rates on Nursing Home Quality,Business Economics,"Medicaid, nursing home, quality, care"
The Effects of Labor Market Characteristics on Interstate Migration: An Empirical Analysis,Business Economics,"migration, labor mobility, interstate migration, education, amenities, wages, unemployment"
"Asymmetric Information, Adverse Selection, & Contract Adjustment in the Commercial Mortgage-Backed Securities (Cmbs) Market.",Business Economics,principal-agent
On the Relationship Between Product Diversification and Firm Performance,Business Economics,"Product Diversification, Firm Performance, Strategic Management"
Solving the Retirement Savings Puzzle: How Illiquid Assets Can Help Hyperbolic Consumers Reach Their Retirement Savings Goals,Business Economics,"retirement savings, intertemporal choice, behavioral economics, hyperbolic discounting, economics, consumer finance, consumer behavior"
Parental human capital and returns to education: The divide between urban residents and migrants in China,Business Economics,"Returns to education, China, Migrant workers, Parental human capital, Parental education, Wages"
"Double Pay: An Empirical Analysis on the Affects of Revenue Sharing and the Luxury Tax, on Competitive Balance in Major League Baseball",Business Economics,"Revenue Sharing, Luxury Tax, Competitive Balance, Major League Baseball"
Fair Play from UEFA? A theoretical and empirical study of the time horizon employed by UEFA’s Financial Fair Play and its effects on the profitability of English Premier League clubs.,Business Economics,"Soccer, UEFA, Financial Fair Play, FFP"
Is It Worth It?: A Study of the Economic Impact Professional Sports Franchises have on a Community,Business Economics,"sports, agglomeration economies, economic base model"
Wal-Mart: For Better or Worse? - A Theoretical and Empirical Exploration of the Long Run Competitive Effects Wal-Mart Has on Local Retail Sector Growth in Ohio Micropolitan Counties,Business Economics,"Wal-Mart, retail trade, discount retailers, local economic development, micropolitan"
Impact of Asymmetric Information on the Likelihood of Deception: An Experimental Study from a Communication Studies and Economics Perspective:,Business Economics; Communication,"asymmetric information, deception"
Beyond ß: An Analysis of Alternative Risk Measures,Business Economics; Mathematics,"alternative risk, risk analysis, CAPM, stock"
"Glory, Glory Fan United!: A study of the relationship between fan loyalty and team performance in English Premier League Football",Business Economics; Mathematics,"fan loyalty, team ranking, soccer, premier league"
